user,rating,date,region,review,helpful
Shaun Thomas-Arnold,5.0," December 19, 2019",Reviewed in the United States ,"Quality is about what you would expect for a $15 keyboard and $10 mouse, but with the added features of backlighting and macro/dpi for the mouse. Not really ""gaming"" quality, although the software does offer macro creation (see walkthrough below for software use).Keyboard:This is a tall button, ANSI format keyboard with double function F-keys (volume, play, email, etc). The tall keys can be bothersome if you're a writer, but the feedback is good and they are fairly quiet. I can type next to my sleeping toddler without waking her up. The lighting function controls were easy enough to figure out and has rainbow, rainbow shift, steady solid color, and solid color breath settings (and off). Color control is done with Function+Ins,Del,Home,End,PgUp,PgDwMouse:Red color breath or off settings. You can adjust the breath speed and on/off with the software. Mouse click is audible, but not super loud like some cheap junk mice. Button clicks are a little sensitive so if you rest your hand on the mouse you might find yourself clicking them on accident. DPI function works fine out the gate, can be further adjusted with software. Side button assignments require the software to change.for software go to the redragonusa site, downloads section.Use the M601 driver (you can tell by the picture). It's a .rar file so if you can't access it you will need something like 7zip (freeware). Once you install that everything is self explantatory except the macro creation. You can find how to videos if you search it.Basically, go to Macro Manager section > Create new > click the ""Record"" button in the bottom right > Type in your macro (ie Ctrl+C ) > Click Record again to stop > Go to Button Assign section > select Macro from the left drop down box > select your macro in the right drop down.Note: just got this so no idea about longevity as yet. Hope this was helpful :)",3
RyanB,5.0," November 17, 2020",Reviewed in the United States ,"They keyboard is easy to type on.  The color choices are great (7 colors), and nice to have extra options like rainbow, pulse, etc.  I just put mine on solid white because I'm boring, but my kids like the other settings.  By the way, other reviewers might say you can't do this... but you can.  Just press Fn+Home repeatedly to select your solid color, and if it's ""breathing"" press Fn+End to turn off the breathing feature.The mouse is GREAT!  Very smooth, and I didn't realize how much I needed a DPI button until I got one!  This is the first time I've had a mouse where you can select the sensitivity right there on the mouse!  Awesome!The weights are superfluous for me... I just left them in.  I tried taking them out to see if I noticed a difference, and it does become noticeably lighter, but I'd rather just keep them in there so I don't lose them, and so the mouse doesn't fall off the keyboard tray by being pulled by the cord.All mouse buttons work with Windows 10 without installing anything, which is very nice.  Right and left buttons work as normal, wheel scrolls up/down and if you click the wheel it pops up an auto-scroll feature which I am also very much enjoying.  The two thumb buttons do page forward/back in browsers (not sure what they do in other apps).  Overall I use all the buttons, and they have made me more productive (I bought the set so I could work at night without keeping the light on).  Note that the wheel does NOT lean side-to-side.  Would be nice if it did, but certainly not a big deal for me (normally this behavior would invoke a horizontal scrolling function).Also I noticed that some reviewers find the underlining on the keys to be annoying since not all the keys have underlines on them.  I believe this is to indicate which keys are ""non-conflict"" keys.  It says in the manual that you can press up to 19 of these non-conflict keys at the same time and they will all operate normally.  This doesn't make sense from a business perspective (who needs to type two letters at the same time?) but when gaming it makes a HUGE difference.  Gamers will use WASD to move their character around, space to jump, and nearby keys to do other things like cast spells, fire weapons, select things, etc.  So it is very common to be pressing 3, 4, or 5 of these keys at the same time, and if you're really good you can press even more (each finger can press 2 or 3 keys at the same time by pressing between the keys, and you can even use your palm to press Ctrl).  Another bonus for gamers is the ability to disable the windows key (aka the Windows key of sadness, since accidentally pressing it while in a game will immediately make you lose control of the game).Overall I am VERY happy with the keyboard and mouse.  The only suggestion I have for the vendor (that isn't mentioned above already) is that it would be nice to have dedicated volume keys that don't require the use of the Fn key.  You can do vol-/+ by pressing Fn+F2/F3, but it's impossible to do that combination with one hand (they are too far apart), and hard to do without looking at the keyboard.  There are 10 specialty keys on this keyboard, and I will probably never use any of them... so it's a bit disappointing that the dedicated volume keys are missing, because I would absolutely use them if they were there.  I mean come on, F5 already does a refresh by itself, why do you need another dedicated key to do the same thing?  Not a big deal, just a minor annoyance, and certainly not even worth dinging a star for.",1
Jedediah R.,1.0," December 25, 2020",Reviewed in the United States ,"While this. .ke.yb.oard .may lo.ok .nic.e, .......... the. .drivers are ab.solute .crap .......... For the first 20 mi...ns .after each .time ..I> start m.y comp.ut.er .it types .like this.. . .I'v.e .tried .reins.talli.ng the .driv.ers .and the m.anual is no. help. ...................>No. jo.ke. .No ..h.elpful info. .on the. .Reddragon .web.site. .It .doesn't .eve.n .ha.ve .a co.py. .of .the. dr.iv.ers i.n .c.ase ...the .one. loaded o.nto my keybo.ard. .is .c.orrupte.d. W>hat .goood .is a ke.y.b.oard .i.f you .can.'.t ..even typ.e? >T.his .isn't just my perso.nal computer. It' happens .on my w.ork co.mputer as well..I. .c.ould give this keybo.ar.d. zer..o stars .if .I> .c.ould.",3
Angela kinnard,1.0," September 27, 2020",Reviewed in the United States ,Received these on August 13 2020. I bought two of these at the same time. Both worked great up until a couple of days ago. September 24 2020.  When one of the keyboards wouldn’t function properly. It started off that the “P” key wouldn’t work. Then the “K” key. Now there are several keys that won’t work at all. I’ve tried everything to get it to work. With no luck. Now I’m just waiting for my other one to go out. 😡 it’s been too long to return it. So now I am just out the money spent. I bought the higher dollar gaming keyboards. Hoping they would be faster and better. But the cheaper ones seems like the ones I should have went with.The mouse still works as it should.,3
AnthonyS,2.0," May 15, 2020",Reviewed in the United States ,"Where to begin...well lets start with the good. The keyboard and mouse are quite comfortable. I loved the weight of the mouse. Yep, that's all of the good currently. As for the bad: No software came in the packaging. I had to google the software which took me to a youtube video where I found a link. Problem is that the website you go to doesn't specifically list this combo. Installing the mouse software was smooth. It had all your typical button settings and a macro manager. Problem is that one of the ""programmable buttons"" did not show up in the software. That middle chevron button next to the wheel was not listed. The keyboard software didn't even detect the keyboard, so didn't get a chance to make any adjustments. I tried to get everything to work for an hour before giving up. But here is the really odd thing. I have 3 screen. The mouse pointer stopped at the edge of each screen. Yeah totally odd. I fooled around with various settings and got it to work then rebooted. On reboot, none of my mouse settings were saved, and oddly, two of my monitors were no longer recognized by Win10. I decided to go back to scratch so uninstalled the software and drivers., connected my old mouse and keyboard, rebooted...and everything returned to normal. I sent an email into support to see what they can do for me. We'll see what happens.",2
Nis,5.0," July 21, 2019",Reviewed in the United States ,"So I've used Razer keyboards for gaming for years but the quality/price ration wasn't great so I decided to try something else. I found this and was a bit skeptical but oh wow I was impressed! As an avid gamer who spends most of her free time typing, gaming and on the computer in general I'm thoroughly impressed. The keys are soft to the touch, silent and responsive. The lighting is good, if you type in the dark it's really helpful! The colors can be changed to be crazy RGB running all over, or a soft neutral color (i picked white) as the backlight. Fully adjustable.The only negative I have is the mouse. I wasn't intending to buy a mouse but figured I'd try it. I'm a fairly small girl with small hands but this mouse is pretty small for even me. Not unusable but I definitely prefer the larger mice that are a little more comfortable on the hand. Otherwise as far as quality/price...BUY IT. Seriously. I just bought a second one for my husband and he loves it. It's totally worth it!",3
7 Dead,1.0," July 24, 2020",Reviewed in the United States ,"Read the reviews of the keyboard and mouse combo, so I ordered it to replace my Cool Master Devastator II that a few keys stopped working after 4 years. I was happy to get package, so I could get back to my work. I do play games, and also I am a writer and artist and use my computer for both.Checked their website to see if there any drives to download, seen there was one so I downloaded it. Plugged in both keyboard and mouse, at first everything seemed to work fine, about after 10 minutes, my music player started going crazy cycling through the playlist that I was playing. I unplugged and than plugged it in again, and it solved the problem. About a week later I moved the keyboard a little and it started cycling through music tracks again, but I was not even playing music at the time. I did same thing unplugged and plugged in. Now it happens every few days if on its own, or if you move the keyboard. It is a bit annoying, That is just the first issue.The second issue out of nowhere both the keyboard and mouse will disconnect and go black. I tried to unplug and plug in and it did nothing, so I had to do a hard reset on my computer losing all the work I did on an art project I was working on, all because there was no way to save with both keyboard and mouse not working. Once I reset computer both worked fine again. this issue has now happened 4 times in the past two weeks. It is frustrating after losing 2 to 3 hours of work due to this issue. Today The mouse scrolling wheel stopped working.After having this keyboard mouse combo, for about a month and a half, is very disappointing.",3
D. Drummond,5.0," June 30, 2020",Reviewed in the United States ,"I was looking for a lighted keyboard to put on my home theater PC, that I've found I am gaming on that big screen here more lately.  I was just using an old basic HP keyboard I had laying around, but given I use this in the dark it was of course impossible to see the keys with just the light from the screen.On my main desktop I have a Razer Black Widow, and I love it, so I have something to compare this one to. I didn't want to spend that much on a keyboard for the home theater PC, but still wanted the backlight.I ended up buying this one based solely on the Amazon ratings, and quite frankly, I didn't have very high expectations.  I figured it was Amazon, and if the keyboard was total crap, I could return it anyway.  Boy, was I surprised when it arrived!For a keyboard at this price point, I was very happy to see if felt like, while very lightweight, decent construction.  Amazon shipped it in it's bare box with no outer box, and of course the box was all dinged up from shipping, and I expected it to be broken, but it was just fine.Even more surprising were my first impressions of the mouse. Just the feel of it, it felt like a much more expensive mouse, and having a braided cable at this price point is fantastic.  I wasn't even expecting to use the mouse, as I have a trackball, I mostly just bought this for the keyboard.I haven't tried the mouse in actual use yet, probably going to give it to a friend, but the keyboard suites my needs very nicely. The adjustments of the RGB LEDs are easy to do right on the keyboard.  They key feel of course is softer than the Razer I am used to on my desktop, but I was happy to learn that this brand has a higher end keyboard available with those type of keys, I might purchase in the future.Bottom line, very pleased with this purchase.",1
Florida girl,1.0," February 25, 2021",Reviewed in the United States ,"I'm an author. I wore the keys out on my laptop three years ago. I was using my son's expensive gamer keyboard for years, but the keys required more pressure than I wanted. Finger's exhausted, I started searching for a replacement. I settled on Redragon because it was affordable and I've grown used to the lights on my son's keyboard.At first I was happy. The keys didn't need so much pressure. The mouse took some getting used to, but I adjusted. It needs more space to move the cursor around. I have a small mouse pad and area, so I'm constantly having to lift the mouse and move it over just to get from one side of my laptop screen to the other.Yesterday, the P key kept placing P's in my words. I used an air canister and cleaned the keyboard. It decided I needed more P's. I pulled the key off and cleaned under it. Now all it will do is give me P's. I'm fifty. I don't need anymore P! I feel as if this keyboard was calling me out. Ha HaSo frustrating and disappointing. I've only typed two hundred thousand words on this keyboard.Don't waste your money. If you do, don't toss the box like I did.",1
StkmltS,5.0," November 27, 2019",Reviewed in the United States ,"Like many others before me, I am awesome, and I purchased this keyboard.Now I can switch between Excel, Word, and Powerpoint faster than all my coworkers that I work with at work. Our engineering co-ops refer to me a the ""yeet-man"". Need an image file converted to pdf? BAM 10 seconds flat... including my email sending it back to you. Scroll to the bottom of that message you'll see that I've already added ""RedDragon"" to my email signature. Word of my dominance is spreading quickly through the company (mostly thanks to an idiot coworker who clicked 'reply-all'), and even my boss hesitates to check the color of my keyboard before interrupting my intensity. Game on ladies and gentlemen, 'cause I'm bringing the juice every day.Pros: too many to list.Cons: my new popularity will probably wear off and I'll need to buy something else to become popular again.",3
Commander579,4.0," May 29, 2020",Reviewed in the United States ,"Initial findings.I love the “soft” brushed coating on the keyboard it feels nice and over all is very comfortable ergonomically when typing. The keys have good resistance, footprint and travel. They feel like I’m actually hitting keys vs buttons like some smaller keyboards.The lighting effects are fun with a wide range of settings and can turn them off or dim them as needed with a couple keystrokes. Over all a solid buy for the cost.As for the mouse, while not the main reason I bought this setup, it seems like a mild afterthought. The plastic is hard and stiff making it feel like it wasn’t finished, the components like buttons, edging and grips are uneven making it feel like it was put together wrong, the weight and over all feel reminds me of a cheap generic stock mouse you would find in a computer lab or office that came with the dell still running windows 7, that’s made to barely serve a purpose. and nothing more. The finish is textured to give a better grip, but unlike the soft almost silicon texture of the keyboard, the surface feels hard and abrasive. Even the “silicon” grips feel like hard plastic.I do appreciate the sensitivity toggle option for the curser. Having duel screens and a higher sensitivity is amazingly helpful. But every time the computer is put to sleep or turned off cutting power to the mouse the setting goes back to the low sensitivity default so every time I have to reset it.Finally my biggest complaint and the reason for the 4 star review is the mouse is so loud and clicky I cant use the mouse with any open mics because it will wash out any other sound coming through.Over all if you just need a solid keyboard or need a mouse and keyboard combo for general use. Not a bad option. Just expect to be getting a better mouse down the road.",1
RoboCop,3.0," July 9, 2020",Reviewed in the United States ,"Easy to configure. the keyboard does not clutter your desk. I like the quiet keys.Update: 2020-07-26I'm a gamer and Software Developer. I've used countless cheapish keyboards and this is the first time i have an issue. The Up arrow is stuck to the keyboard when pressed. Only when i wiggle it then it pops back up (see pics). I gave away my old keyboard and now I'm stuck with this. It's hurting my productivity because when i code, the up key when stuck, moves the cursor to places where i don't want it. It's very hard for me to ship this back because i don't live in the US.Update 2: 2020-08-04I was able to pop the key out of the keyboard and reinsert it. There's a bit of resistance when I press on it now but it doesn't stick so far. I changed my star rating to a 3 since i resolved the issue and it's great that i can pop the keys out without breaking anything.",2
daniel schlotte,4.0," February 15, 2020",Reviewed in the United States ,"Edit: After the manufacturer replied to me they explained how to get the keyboard lighting set to a steady color, and how to adjust the brightness to my liking, or at least far closer than I was able to from watching videos about the keyboard. While it would be nice if clear information about how to adjust settings was either on or in the packaging so that people wouldn't have to go searching for it, this does make the keyboard far mor functional for my use, and I have therefore updated my rating to 4 stars from 2. Leaving old review below for reference.For the price it's not bad, but the fact that you can't select a single color and brightness for the backlighting to stay at is a great annoyance and makes the keyboard rather unusable long term in my opinion. I want to be able to see the keys, all the time, without having to focus on a new color or wait for the light to fade back in. I don't get the point of this ""feature"". The mouse is nice. Keyboard is otherwise perfectly functional.",2
Dracorogue,4.0," November 29, 2019",Reviewed in the United States ,"This is one of the best keyboards I've ever had. For the record, I've never had a keyboard costing more than 25 ish, for 28 dollars the keyboard alone is worth it. The mouse is ok, decent quality but nothing to write home about ( I use the mouse on a secondary system). For the price I've had no better keyboard, the keys have a rubberish feel, not too loud, depress nicely and accurately. The rgb could be brighter, but works well and easily . My biggest complaint is the keys seem a little small, but otherwise has performed awesomely plaing games like rage 2, borderlands 3, and outer worlds.  This keyboard is well worth the price, just think of it as buy the keyboard get the mouse for free.",3
Elisabeth Eckley,5.0," November 24, 2019",Reviewed in the United States ,"This product is absolutely amazing!!! The keyboard feels amazing and works so well when I'm playing Guild Wars 2. The last keyboard I had would always stick whenever I was doing jumping puzzles, which is annoying especially when you are high up and a missed or over jump results in falling and, usually, instant death. And for some puzzles, this means restarting from the beginning, which is hard and often times extremely frustrating. If you are a gamer, then this is the keyboard for you.The mouse that comes with this set is also amazing. It is wired, which is better than the gaming mouse I had before this one was. (wireless rechargeable gaming mouse. Not sure why I even thought that was a good idea LOL). It is very responsible and while that buttons are loud, it isn't bad. I played a fractal last night with some of my guildmates and I had zero lose of mouse control, which was common with my old wireless mouse.All in all, this is a great set for the price I paid and I was not disappointed. I've already recommended it to another guildmate of mine so heres hoping he likes it too!!~High Priestess Starfire",1
TwoLeftFeet,1.0," February 5, 2021",Reviewed in the United States ,"Sooooo disappointed!  I have had this keyboard less than a year, and it is acting flaky all the time!  It will start to duplicate letters even when I am not holding the key down - any key (numbers, letters, space key, etc.), it doesn't matter, it will take off and duplicate the letterrrrrrrrrrrrr.  Just like thaaaaaaaaaaaaaaaaat!  Also, sometimes, it won't put a letter on the screen when I type until I have hit the key several times.  Is there a software update?  Or, is there something else I can try?  This is driving me crazy!  I have tried contacting the seller through Amazon - no reply.  I have left a message on theee Redragon website, and they don't replyyyy either.  Of course, its tooooooo late to return this POS, and there is zero customer support.  Would NOT recommend!  Will not buy from this seller or Redragon products ever again.  Not worth the money or the hasssssle!",1
Bob Vorachek,2.0," February 8, 2020",Reviewed in the United States ,"I am a active Windows gamer, I play some fast moving quickly paced games like Dead By Daylight or Sea of Theives as well as some chill, sandbox games like Minecraft or Staxel.The keyboard worked fine for about 4 days, then the space bar started to squeak whenever I pressed it. It was minor but it was like nails on a chalkboard to me.So I’m like “okay whatever, this isn’t that bad” and kept playing with the broken space bar.It wasn’t until a few minutes ago that the space bar just totally broke. Whenever I’m on my computer it just constantly tells it that I’m pressing the space bar like a million times per second. It’s gotten to the point where I can’t scroll webpages or play music from Spotify. If I restart my computer it stops for a second and then maybe a minute after starting my computer begins again. Absolutely stupid.The mouse worked fine, another really only thing about it though was that the right-click got stuck often and I couldn’t press it without putting a bunch of force on it. Also really annoying but I got used to it.I’m still giving this product 2 stars because I like the light features and how the backlit area looks in general, I like the features they added to the keyboard, but it’d be even better if it worked...",1
Mr. Mayhem,1.0," September 8, 2020",Reviewed in the United States ,"I didn't have a lot of money to spend on a k/m so I got this, I wish I would have saved up for something better. I made the mistake of trusting Amazon reviews, I guess these people had low expectations. For one, you can't change the color of the mouse (red only) and it keeps pulsing but I don't think there's a way to stop it. It supposed to show the speed of the mouse pointer which I guess some people want but I think it should be at least an option, not forced on you. The next problem is the keys are hard to read if you rely on the back lighting, for example, the letters are fine but anything like the number keys, which have a number on the bottom and a !@#$% etc. on the top are nearly impossible to read. Then, there's the fact that it doesn't save your color/lighting settings, if you disconnect the keyboard or don't use it for a few days it goes back to the default, annoying, flashing rainbow. If these things don't bother you then this combo is otherwise fine, especially for the price, but I was expecting better after seeing all of these positive reviews.",1
Devon Day,5.0," October 4, 2018",Reviewed in the United States ,"Honestly, there's not a lot to say about this keyboard and mouse combo. For the most part, it's a no frills combo that will get the job done for us gamers on a budget. I've been using the combo to play extended sessions of Ring of Elysium, and I haven't missed a beat.Keyboard feels great to type on, and has a decent sound when keys are pressed, which is satisfying. I really like the RBG as well.The mouse is fairly light, even with the weights installed. But it feels very precise and smooth. I also enjoy that there's a program to download that lets you do some small customization such as setting up macros, changing DPI (up to 3200), and changing the speed of the breathing affect for the red LED.Overall, this is a basic, and inexpensive, solution for PC gaming. Hard to go wrong.UPDATE 12/36/18:Took me some time to get around to making this update. Life has been a bit of a pain lately, but it hasn't stopped me just yet.Anyway, I had an issue just a month or two ago, in which a bowl of cereal spilled all over my keyboard. In a panic, I dove under my desk, and unplugged it. I then promptly took it to my kitchen sink, and ran it under some water to help clean out the milk. This is when I noticed the holes on the bottom. I hadn't realized that this keyboard is liquid resistance, but I was sure glad because I really wanted a milk-free keyboard experience.Just to stay safe, I went ahead and let the keyboard sit and dry, with a fan pointed directly on it, for a couple of weeks.I'm happy to say that, after it had time to dry, and I finished cleaning up any dried milk left behind, the keyboard is functioning as well as it did out of the box.Good going Redragon! Nice to have a liquid resistant keyboard at such a low price.",2
James7,4.0," September 13, 2020",Reviewed in the United States ,"First, this review is for the replacement keyboard. The first one, the space bar didn't work, but the style and design are good, I figured I'd give it another try.Disclaimer, I have not tried as a gaming keyboard functions yet. This review is just for regular keyboard and mouse function.-Pros: Quiet, good feel while typing, keys feel like a mechanical keyboard without the loud clicking, back lighting is descent.  A nice looking unit.The mouse is stylish, and will work good ""as is"" but you need to download the free driver and suite (suite loads with the driver). once suite is loaded the mouse becomes very adjustable to your needs.-Cons: Had read other buyers say they had same problem with space bar and other other keys. To me, a keyboard should be about typing first, everything else second. Just me. but this second one works is great. Can't find anything else to complain about, but again this doesn't cover the gaming functions.The mouse. The mouse comes with the LED set to ""slow"" pulse. so if you don't download the driver (suite built in) you have a standard mouse with a red ""heart beat"" back light (default setting). Yes, the light for the mouse can only be controlled from the suite! As I stated it was free Red Dragon site, and installed quick and easy....on my personal laptop.I work remote now and work on a company computer as well. I usually just pop the USB hub from one to the other.But can't put the driver on work computer. Enter mouse with a red ""heart beat"" light for 8 hours.Good for your personal computer, but probably not for a work environment. Will have to live with it for now.Included instructions are basic at best, and even going on YouTube couldn't find a lot of help with what all the programmable/gaming keys could do.-Overall, good value for the price, as my son sent over $120 on his gaming keyboard (SMH).I would just advise to buy ""sold by Amazon"" as I got my replacement within two days.Updated (09/14/2020) On work computer, running large cad program and multiple file docs, along with other programs. The mouse was very glitchy. I realized running though the USB hub made the mouse commands even moving the cursor  “wait in line” to be executed. Not a long delay, but long enough to be aggravating. Computer is brand new, top self HP. So not the computer. Never had this problem with my wireless trackball mouse, with dongle plugged into hub. Not sure if this is all wired mouses or just this one. But I plugged it straight into one of the computers USB ports and now it works fine. Just a heads up. Might be the same for gaming.",0
Dave,4.0," June 1, 2021",Reviewed in the United States ,"I guess I got my money's worth. The default setting for this keyboard and mouse is to come up blinking all colors. . And every time you turn on your computer, you have to select a color scheme or work on a blinking keyboard.  Also, sometimes, the caps-lock light goes out of sync between keyboard and computer.  Specially when using a remote desktop app. Very strange.  Finally, I've noticed that if I step away from my computer for a while (1 or 2 hours), I'm very likely to come back to an unresponsive keyboard. It looses contact with the PC.  I have to restart my computer. I have no proof that the keyboard is causing this. These things don't occur a lot (except the blinking).  But .. I'm probably going to save some money and buy a new keyboard.. I miss my old Logitech G11",1
Joe,5.0," January 8, 2021",Reviewed in the United States ,"I use my keyboard anywhere from 8-16 hours a day most days.  I work in a dimly lit room at night and need a backlit keyboard that I can see, but doesn't blind me, and that will last.  Others I've had in the past had painted keycaps that would wear off within 6 months to a year.  I purchased a different brand before I bought this one, then gave the other one away because the backlight wouldn't stay on due to an unadvertised ""auto-off"" feature that could not be disabled.This keybaord is perfect for me.  I love the backlight. There are several modes, but I always set it to a single color and choose my preferred brightness.  It's bright enough without being obnoxious, but it can be turned up to be very bright if you wish.  The keys are average height, they are fairly quiet; they do make noise, but it's not the super loud clacky noise that some keyboards make.  The media buttons work well, but are unobtrusive and require no extra drivers or software.I love this keyboard, and my only nitpick is one of style:  Many keys have an alternate function via the function key.  The symbol representing the alternate function is printed at the BOTTOM of each key, meaning the primary function of these keys is printed at the top of the keys.  Due to the angle at which you see the keyboard (since it's in front of you) the bottom half othe keys are better lit than the top of the keys, so the alternate functions show up better than the primary functions of the keys.  For example, on the arrow keys, the alternate functions for backlight brightness are perfectly backlit, while the arrows themselves are dim.  While this is a minor nitpick, I would prefer to have hte primary function on the bottom of the keys with the alternate function printed above.All in all, even with my nitpick I would definitely buy this keyboard again.",0
Nicole Palacio,5.0," September 30, 2020",Reviewed in the United States ,"Your browser does not support HTML5 video.


   I purchased this since I am now working from home and do a lot of computer work. I wanted something to break up my day and have fun with, but still needed something functional. The key strokes on the keyboard are so soft and smooth, it is quieter than my regular ergonomic keyboard. The lighting to it is very nice and there are so many ways to have it. It does take a while to learn which key functions to use to get it to where you may want it, but it is a very easy instruction manual. Since I am not using this for gaming I will say I am really glad that I did read the reviews and purchase this. I did have an issue with one of the keys sticking, but when I contacted the seller they responded immediately and were ever so happy without question to replace it. I contacted Amazon and after scanning my return had my replacement keyboard sent out the same day and received it the following day. I will definitely recommend this to anyone that is looking for a great keyboard and will see what other items they may have to assist with my new home office.",1
IMorrow,3.0," January 8, 2019",Reviewed in the United States ,"The build on both keyboard and mouse feels solid, and neither feel like they were cheaply made. They're very comfortable to use, and just feel nice.What I really don't like is how they're controlled. The mouse has multiple DPI stages that can be cycled through, but the stage that it defaults to when powered on is way too low right out of the box. There were a few other changes that I wanted to make, but it didn't come with any drivers or software. I hunted around and found that the driver software for the M601 also work, since the mouse is identical. It now appears that software is included, but it was a nuisance for me.The keyboard suffers from the same issue, however. It appears to be the same as the K503, but there is no software to control it. This means none of the extra keys can be keymapped to anything other than the out-of-the-box function, and (what's most annoying) you can't change the default lighting. Every time it powers on, it defaults to the RGB rainbow wave rolling across the keys, which is annoying. Having to change it manually using the Fn key combos every time is a bit aggravating. I get that some people will probably like the fact that it doesn't require special software to use, the way Razer or Logitech do, but it'd at least be nice if it could remember what the last used settings were when it gets powered off.",3
Thunder Struck,4.0," November 8, 2019",Reviewed in the United States ,"I like the set and I will keep it, but I do have some complaints, The amazon descriptions says software is included. That's not true. You have to go to the website which they do not give the web address in the directions. you have to download a zip installer to be able to open the mouse files that you download. I spent a long time trying to find the drivers and then figuring out how to open the file.  The mouse is a M106 but that's not what it says on the back of the mouse. The lights on the keyboard are not very bright. There are several different colors but you can not choose one color and keep it, it has to scroll through all 7 colors. my keyboard had a manual but my mouse did not and directions are very basic and generic. Keep in mind a young person will have no problem but if your somewhat older you will struggle a bit.",1
MDN,4.0," April 20, 2020",Reviewed in the United States ,"This is a normal keyboard.  I bought in anticipation of replacing another keyboard that was giving me problems.  About 30 days later my old keyboard, was having a problem with a few keys including the return key and I was happy to have this keyboard ready.  I thought it would have some ergonomic qualities.  It has little legs you can set up to change the angle of the keyboard and that is about the extent of its ergonomic characteristics.  The keys are super smooth, so they are a little slippery for me.  My hands are a little on the dry side.  I bought this keyboard, because I thought it was a good deal for an ergonomic keyboard and did not really pay too much attention to the gaming aspect of it.  It has flashing lights that are kind of annoying, but if you read the instruction manual you can adjust them to a single color, flashing and non-flashing or no light at all.  It is very hard to see without a light, though.  Not sure how it will work at night, but I think it will work nicely and in that regard I think it offers something not on my previous keyboard.  In daytime hours it is hard to see the keys, as the characters are not painted on, but are rather are see through .  I would not recommend for anyone  looking for an ergonomic keyboard.  At first I was unhappy with it, but once I figured how to adjust the lights I am okay with it and are actually happy I can use it at night without additional lighting.  The fact that it came with a mouse is an additional bonus, so yeah I would buy again for the price, but I think if I could fight an ergonomic keyboard for the same price I would buy ergonomic.",0
Emile,3.0," June 19, 2020",Reviewed in the United States ,"Update, July 20, 2020,After several emails with the company regarding my issues with their product they agreed to refund me for the keyboard and shipping & handling.They did make several attempts to replace the keyboard and mouse, but due to the nature of my issues, I didnt want to take a chance. I've upgraded their rating to 3 stars because the design and look of the keyboard & mouse was cool and they obviously stand behind their products and did their best to try and appease me. Thanks Red Dragon.Bought this keyboard a few months ago because it looked stylish and seemed to have good reviews. Upon receiving and opening the package I was happy.  Fast forward a few weeks later and my pc was turning itself on every night. I did a wake command and determined it was my keyboard and mouse causing it. I tried to go into the device settings and disable it but it would happen again anyway.  I reached out to the company and they did respond quickly and offered a refund.  I thought lemme try to deal and see if it would stop. Fast forward a month and not only has the problem not stopped, now the mouse works intermittently. Whether the pc was on and in use or just powered on the mouse wouldn't work. I'd have 2 unplug and plug it back in. I have 8 USB ports on my pc and I had the issue with every single one. So I reached out to take them up on the offer for credit and was denied because it was beyond the 30 day return period.  Even though they were aware of my issues and offered a previous refund. They offered to exchange it but I'd have to pay to return the defective equipment.  That's when I lost it. Buy at ur own risk. This keyboard and mouse has only caused me stress!",1
Zachary H.,4.0," May 16, 2019",Reviewed in the United States ,"After Abusing this keyboard and mouse with hardcore gaming, I can say that it's Overall a good buy. There are some things to note for the Nerdy Peeps out there. (I just bought this order again)-The Keyboard's rubber backing under the keys is one large piece across the entire board. In other words, you will not easily be able to replace a key membrane with another one.- The mouse is good. However, the first to go, over time, was the mouse wheel (Which was just terrible from the start), and then the primary and secondary keys. Surprisingly, the side keys on the mouse held out very well despite me using them quite often to voice chat and use a melee punch feature in Overwatch. (A Game)- The Mouse and Keyboard have high durable cords and attachments . Simply amazing.- Overall, for the price, This Mouse and Keyboard is outstanding. I just wish I could replace the key rubber pieces in the keyboard... So, I gave it 4/5 stars.",3
R. Russell,1.0," December 1, 2020",Reviewed in the United States ,"It's clearly been used and returned: The tamper-proof sticker 'protecting' the end of the box was clearly tampered with, wrinkled and removed/re-stuck.  The manual is scuffed and crinkled. The bubble wrap bags containing the hardware inside the box were torn.And it's no wonder:  Three of the four buttons on the mouse wouldn't click, including the main left and right ones.  No use for a mouse that can't click, sorry.Plus side: The keyboard seems alright. It's very blinky.I guess you get what you pay for.",2
Mike Davis,1.0," November 9, 2019",Reviewed in the United States ,This was the second one I bought. Since I had a stroke it is easier pm me with the lighted keyboard to see and type. It great looking ley board but the letters on the board started not working. Then the letters would stick making that letter or return button mess up the screen. No software no way to program.  Such a waste and total disappointment.  4 months out  now Im back where I was before.,6
LionofJames,3.0," December 26, 2015",Reviewed in the United States ,"I liked this mouse/keyboard set originally. I am a little leery about products that come from overseas but I figured, for the price, why not? Well, I should have listened to my gut because we got a bad product. The keyboard works great...(It's a keyboard... not hard to do) and the mouse functioned pretty well while it lasted, except less than 90 days after I purchased it died, total death, I played with the wiring up near the USB port by moving it with my hand..it flickered on for a brief second before dying, so I can only assume the wires came loose like oh-so-many ear buds I've had before... This is sad because this mouse was almost always in the usb port giving no reason for there to be unwanted stress on the mouse.Edit: In response to my review and my complaint, Amazon shipped me another keyboard/mouse combo to replace the broken mouse, they shipped it one day so that I have already received the new product and am shipping the faulty combo back, this is great service on the part of Amazon and even ChallengerUSA (the distributor), whom also offered to replace the item. I can't say this new set will change my opinion on Redragon products, as I was unable to contact them and they seemed to have nothing to do with the replacement of this unit, but Amazon and ChallengerUSA deserve 5 stars.",6
